,Judul,Isi
0,Survei Litbang Kompas Capres 2024: Ganjar Ungguli Prabowo dan Anies,Survei Litbang Kompas menunjukkan elektabilitas Ganjar Pranowo unggul dibanding Prabowo Subianto dan Anies Baswedan sebagai kandidat capres pada Pilpres 2024.
1,"Dipayungi AHY, Surya Paloh Tiba di Markas Demokrat Matangkan Koalisi",Paloh langsung disambut oleh AHY. Terlihat AHY memayungi Paloh saat keluar mobil. Keduanya langsung masuk menuju Ruang Biru DPP Partai Demokrat.
2,Survei Litbang Kompas: Ridwan Kamil Dominan di Figur Capres Alternatif,Gubernur Jawa Barat Ridwan Kamil unggul dominan di survei figur capres alternatif.
3,Bawaslu Dorong Ada Penerjemah bagi Disabilitas Setiap Kampanye,Bawaslu mendorong peserta Pemilu 2024 untuk menyediakan penerjemah bagi kelompok disabilitas.
4,PD dan PKS Tak Iri Meski Elektabilitas NasDem Melesat Berkat Anies,PKS dan Demokrat memahami kenaikan elektoral NasDem di survei Litbang Kompas karena efek ekor jas Anies Baswedan. Meski begitu keduanya tidak merasa iri.
5,"Pileg 2024, PKB Bidik 14 Kursi DPRD Kabupaten Bandung",PKB mulai nge-gas jelang Pemilu 2024. Partai PKB kini tengah membidik 14 kursi di DPRD Kabupaten Bandung pada Pileg 2024 mendatang.
6,Mangku Pastika-Gede Suardana Tampil 'Mesra' dalam Diskusi Kebangsaan,Bakal calon DPD Dr. Gede Suardana bersama anggota DPD Dr. Made Mangku Pastika tampil bersama dalam diskusi sosialisasi empat pilar kebangsaan.
7,Andre Rosiade Tegaskan Polarisasi Tak Diperlukan: Solusinya Prabowo Presiden,Andre Rosiade berbicara mengenai rekonsiliasi Prabowo yang bergabung ke Jokowi. Andre menilai Prabowo cocok jadi Presiden sebagai solusi mengatasi polarisasi.
8,Petugas Pantarlih Lumajang Coklit Data Pemilih 2024 Sambil Jualan Pentol,Petugas Pantarlih di Lumajang ini unik. Dia tetap berjualan pentol keliling saat melakukan tugas pencocokan dan penelitian data pemilih.
9,"Gus Yahya Tak Haramkan Warga NU Coblos PAN, PKB Jatim: Cambuk Buat Kami",Ketua Umum PBNU Gus Yahya menyebut warga NU tak haram untuk memilih PAN. Statement itu justru jadi pelecut semangat PKB yang selama ini punya basis Nahdliyin.
10,"Suara NU Jadi Rebutan di Pemilu 2024, Pengamat: Mayoritas Masih Pilih PKB","Suara NU diprediksi akan pecah dan jadi rebutan di Pemilu 2024. Namun, menurut pengamat politik, suara NU mayoritas tetap akan ke PKB."
11,"PKS Rakernas Akhir Pekan Ini, Gelar Deklarasi Resmi Anies Capres?",PKS akan menggelar rapat kerja nasional (rakernas) di Jakarta akhir pekan ini. Mantan Gubernur DKI Jakarta Anies Baswedan dijadwalkan hadir.
12,PDIP Ungkap 3 Kriteria Pengganti Ganjar di Pilgub Jateng 2024,"Ketua DPD PDI Perjuangan (PDIP) Jawa Tengah, Bambang Wuryanto atau Bambang Pacul, membeberkan tiga kriteria untuk calon gubernur (Cagub) Jateng 2024."
13,"Mahfud Md Gelar Pertemuan dengan Sejumlah Eks Menteri, Ada Apa?",Mahfud Md menekankan negara tunduk kepada konstitusi. Sehingga dia memandang pemerintah semestinya tak perlu menanggapi isu penundaan pemilu.
14,"PDIP Beberkan 3 Kriteria Pengganti Ganjar di Pilgub Jateng 2024, Apa Saja?",Ketua PDIP Jateng Bambang Pacul membeberkan tiga kriteria untuk Calon Gubernur (Cagub) Jateng pada Pilgub 2024. Apa saja?
15,Cak Imin soal Capres-cawapres 2024: Semua Stuck Nunggu Kartu Lawan,Ketua Umum PKB Cak Imin bicara soal perkembangan capres-cawapres 2024. Cak Imin mengatakan semua parpol saat ini saling mengintai.
16,Cak Imin Belum Terpikir Sama Sekali Berpasangan dengan Anies di 2024,Waketum PKB Jazilul berharap Cak Imin jadi capres dan berpasangan dengan Prabowo atau Anies sebagai wakilnya. Cak Imin belum terpikir berpasangan dengan Anies.
17,PPP Heran Waketum PKB Banding-bandingkan Kursi Partai Ijo di DPR,PPP mengaku heran dengan sikap Waketum PKB Jazilul Fawaid yang dianggap membanding-bandingkan pencapaian kursi partai ijo di DPR RI.
18,"Cak Imin: Kalau Putusan MK Pemilu Tertutup, Negeri Ini Sedang Dangerous",Cak Imin memendam kekhawatiran jika sistem pemilu proporsional tertutup atau mencoblos gambar partai politik terwujud.
19,"Pantarlih Mulai Lakukan Coklit Daftar Pemilih Pemilu 2024, Begini Prosesnya",Pantarlih mulai melakukan proses pencocokan dan penelitian (coklit) daftar pemilih untuk Pemilu 2024. Seperti apa proses coklit?
20,Waketum PKB: Jangan Sampai PKB Kayak Partai Ijo Lain Cuma 19 Kursi,Jazilul mengungkit partai lain yang berwarna hijau yang hanya memiliki 19 kursi DPR. Jazilul bersyukur PKB bisa mendapatkan posisi strategis di DPR RI.
21,"Besok, Surya Paloh Makan Siang Bareng AHY di DPP Demokrat",Ketua Umum DPP Partai Demokrat Agus Harimurti Yudhoyono atau AHY dan Ketua Umum Partai NasDem Surya Paloh dijadwalkan bertemu di Ruang Biru DPP Demokrat.
22,"Menpora Amali Mundur Informal, Jokowi Reshuffle Mini atau Besar-besaran?",Presiden Jokowi akan menentukan sosok menpora baru setelah Zainudin Amali mundur informal. Jokowi akan melakukan reshuffle mini atau besar-besaran?
23,"Survei Litbang Kompas: NasDem Melesat, Demokrat-PKS Merosot","Litbang Kompas merilis hasil survei elektabilitas partai politik menjelang Pemilu 2024. Hasilnya, di papan tengah ada pergerakan signifikan dari NasDem."
24,"Gaet 4 Gus, Begini Peluang PAN Rebut Ceruk Suara NU di Pemilu 2024",4 Gus dari kalangan Nahdliyin resmi bergabung dengan PAN Jatim. Seberapa besar peluang PAN meraih ceruk suara NU di Pemilu 2024?
25,PAN Jatim Blak-blakan Alasan Gaet 4 Gus dari NU,4 Gus berlatar belakang NU bergabung dengan PAN. PAN blak-blakan alasan menggaet keempat putra kiai itu untuk mengincar ceruk suara NU.
26,KPU: Disabilitas hingga Ibu Hamil Tak Akan Antre saat Pencoblosan di 2024,KPU menyampaikan pentingnya memfasilitasi pemilih disabilitas dalam Pemilu 2024. KPU akan memberikan pelayanan khusus bagi para penyandang disabilitas.
27,Prananda Paloh Optimis NasDem Raih 100 Kursi DPR di Pemilu 2024,Ketua Bapilu Partai NasDem Prananda Surya Paloh optimis target mereka meraih 100 kursi di Pemilu 2024 dapat terealisasi.
28,Ketum Muhammadiyah Haedar Nashir Minta Parpol Tak Hanya Kejar Kepuasan,"Ketum PP Muhammadiyah, Haedar Nashir, mengimbau partai politik memperbarui niat atau political will mereka jelang pemilu 2024, agar tak cuma kejar kemenangan."
29,Bawaslu Beberkan Kerawanan Pemilu 2024: Netralitas-Polarisasi Masyarakat,Ketua Bawaslu Rahmad Bagja membeberkan sejumlah kerawanan yang mungkin terjadi di Pemilu 2024. Dia mengaku sudah menyiapkan strategi untuk mengatasi itu.
30,Badung Petakan 1.481 TPS di Pemilu 2024,Jumlah TPS di enam daerah pemilihan (dapil) di Badung pada Pemilu 2024 sebanyak 1.481 TPS.
31,Diskusi Pengawasan Dana Kampanye Pemilu 2024 di Bawaslu,"Diskusi membahas dana kampanye Pemilu 2024 digelar di Bawaslu, Jakarta. Diskusi dihadiri Bachtiar Baetal, Alwan Ola Riantoby, Ray Rangkuti, dan Aji Pangestu."
32,"Ray Rangkuti Sorot Aturan Dana Kampanye, Ungkit Perjanjian Utang Rp 50 M",Pendiri Lima Ray Rangkuti mengatakan saat ini belum ada regulasi soal dana kampanye. Dia lantas menyinggung perjanjian utang Rp 50 miliar.
33,"Gibran Semobil dengan MenPAN-RB Azwar Anas, Bahas Pilgub DKI?",Wali Kota Solo Gibran Rakabuming semobil dengan MenPAN-RB Abdullah Azwar Anas usai menghadiri peresmian 7 Mal Pelayanan Publik di Sragen. Bahas apa di mobil?
34,Bawaslu Sebut Aturan Kampanye di Medsos Lemah: Bahkan Hampir Tidak Ada,"Bawaslu RI menyoroti regulasi kampanye di medsos yang dinilai masih lemah. Padahal, menurut Bawaslu konsep kampanye telah mengalami perubahan."
35,Awas! Serangan Siber Akan Terus Naik Jelang Pemilu 2024,Kepala BSSN Hinsa Siburian mengungkapkan serangan siber akan terus mengalami kenaikan seiring dengan banyak yang mengadopsi layanan digital.
36,"NasDem ke Bawaslu: Anies Keliling Tak Langgar Aturan, Jangan Dengki!",NasDem merespons sindiran Ketua Bawaslu RI Rahmat Bagja yang menyebut ada capres kerap keliling. NasDem menyebut safari yang dilakukan Anies tak langgar aturan.
37,"Gabung PAN, Crazy Rich Surabaya Tom Liwafa Berencana Nyaleg DPR RI","Tom Liwafa, crazy rich Surabaya resmi bergabung PAN. Ia juga berencana akan maju jadi caleg DPR RI Dapil I pada Pemilu 2024."
38,Crazy Rich Surabaya Tom Liwafa Beber Alasan Banting Setir Masuk Politik,"Crazy Rich asal Surabaya, Tom Liwafa resmi masuk dan menjadi kader Partai Amanat Nasional (PAN). Lalu apa alasan Tomli masuk dunia politik?"
39,Tata Kelola Pengawasan Pemilu,"Ritme keserentakan pemilu yang dinamis membutuhkan tata kelola pengawasan yang ajek dari segi dasar hukum kepemiluan, adaptif dengan segala perubahan teknis."
40,"Prediksi Serangan Siber Naik Jelang Pemilu, BSSN Siapkan Operasi Keamanan",Badan Siber dan Sandi Negara (BSSN) memprediksi ada peningkatan kerawanan yang terjadi pada ruang siber menjelang Pemilu 2024.
41,"Tangkal Serangan Siber di Pemilu, BSSN: Satgas Sudah Mulai Bekerja","Kepala Badan Siber dan Sandi Negara (BSSN), Hinsa Siburian, memastikan satgas untuk pemilu 2024 sudah mulai bekerja."
42,Bawaslu Awasi Hak Kelompok Disabilitas untuk Memilih Saat Pemilu 2024,Bawaslu akan mengawasi hak kelompok disabilitas saat kontestasi Pemilu 2024 agar hak kelompok disabilitas untuk memilih bisa terpenuhi.
43,The Matchmaker Tahap Kedua Dimulai! Pilih Duet Capres-Cawapres Favoritmu,The Matchmaker hadir menampung aspirasi publik soal siapa figur-figur yang cocok berpasangan di Pilpres 2024. Yuk pilih capres-cawapres favoritmu sekarang juga!
44,"Balas Bawaslu, Elite Demokrat Minta Bacapres Pejabat Aktif Diawasi",Partai Demokrat meminta Bawaslu mengawasi bacapres yang merupakan pejabat aktif.
45,Musim Kongkow Politik,Politik hari-hari ini menjadi tema percakapan yang menarik dalam kongkow.
46,"Sulut Jadi Provinsi Paling Rawan Pemilu 2024, Bawaslu Minta Waspada",Bawaslu mengungkap Sulut termasuk sebagai provinsi paling rawan pelanggaran Pemilu 2024. Indeks kerawanan pemilu Sulut tertinggi kedua setelah DKI Jakarta.
47,PKS Jawab Bawaslu Soal 'Capres Itu' Keliling Terus: Santuy Aja,Ketua DPP PKS Mardani Ali menanggapi santai sindiran Ketua Bawaslu RI Rahmat Bagja yang menyebut 'capres itu' yang kerap keliling sebelum masa kampanye.
48,Walkot Cilegon Pindah ke Gerindra Usai Berkarya Tak Lolos Pemilu 2024,Wali Kota Cilegon Helldy Agustian pindah partai ke Gerindra usai Partai Berkarya tak lolos sebagai peserta Pemilu 2024.
49,Panas PDIP vs Demokrat Usai SBY Beri Catatan Soal Gugatan Sistem Pemilu,Partai Demokrat dan PDIP terlibat debat panas. PDIP memberi pernyataan menohok usai SBY mengomentari gugatan sistem pemilu.
50,KPU Jamin Hak Pilih Para Disabilitas,Komisi Pemilihan Umum (KPU) Denpasar menjamin perlindungan hak pemilih berkebutuhan khusus atau disabilitas dalam Pemilu 2024.
51,"Ada Capres Kena Sentil Bawaslu Karena Safari Politik, Siapa Orangnya?",Ketua Bawaslu RI Rahmat Bagja menyindir sosok calon presiden yang sudah gencar safari politik ke seluruh wilayah Indonesia.
52,PKB ke PDIP soal Koalisi: Sampai Saat Ini Belum Ada Capres-Cawapres Resmi,Sekjen PDIP Hasto menyebut PDIP buka peluang kerja sama koalisi yang belum tetapkan capres. PKB menyebut saat ini belum ada capres resmi yang diusung koalisi.
53,"PPP ke PDIP: KIB Terbuka Nambah Anggota, Duduk Bersama",Sekjen PDIP Hasto menyebut PDIP akan buka peluang kerja sama dengan koalisi yang belum tetapkan capres. PPP mengatakan KIB terbuka untuk menambah anggota.
54,Isu Sandiaga Uno Gabung PPP Belum Sirna,Isu Sandiaga Uno bakal merapat ke PPP belum sirna seiring asa Plt Ketua Umum (Ketum) PPP Mardiono masih ada. Begini respons teranyar Sandiaga.
55,Sambutan Hangat Demokrat Usai Jokowi Sebut AHY Capres-cawapres 2024,Demokrat menyambut sikap Jokowi yang menyebut nama AHY saat bicara daftar capres-cawapres 2024. Demokrat mengatakan pernyataan itu sebagai bentuk pengakuan.
56,"Demokrat Curiga Hasto Ngotot Pemilu Tertutup, Senggol Kasus Harun Masiku",PD menyebut Hasto trauma dengan kasus Harun Masiku.
57,"Sederet Catatan SBY soal Gugatan Sistem Pemilu, Wanti-wanti MK Keliru",Presiden ke-6 SBY memberikan catatan terkait sistem pemilu. SBY bahkan mewanti-wanti Mahkamah Konstitusi agar jangan sampai keliru.
