,Akun,Konten,Lokasi
0,qaidu3,@DedekIak @PdipSolid @puanmaharani_ri Iya la THR juga paling ditunggu,
1,dea29808,@muhammadd_deni @puanmaharani_ri KA kendaraan yg paling praktis,
2,dea29808,@RitasariiSari @puanmaharani_ri top markotop pokok e mbak puan,
3,dea29808,@PdipSolid @puanmaharani_ri Kl saya mah ke palembang balek kampungnya,
4,qaidu3,@PdipSolid @puanmaharani_ri Iya semoga tahun ini dilancarkan semua,
5,dea29808,@Safitridede1 @puanmaharani_ri Mbak puan nyata calon pemimpin yg merakyat banget,
6,dea29808,@puanmaharani_ri Balek kampung itu wajib bagi saya,
7,qaidu3,@acikcika6 @puanmaharani_ri Tradisi mudik sangat dinanti orang yang merantau,
8,dea29808,"@puanmaharani_ri @KAI121 mbak puan RI 1,,bismilah",
9,dea29808,@puanmaharani_ri Kerja Nyata mbak puan untuk rakyat Indonesia sudah terbukti banget,
10,AdnanAgam1,@muhammadd_deni @puanmaharani_ri Kenderaan yg paling praktis yah naek kereta api,
11,qaidu3,@RitasariiSari @puanmaharani_ri Kami cinta Bu Puan,
12,WartaEkonomi,"Walah... Puan Maharani Terancam Dilaporkan ke Mahkamah Kehormatan Dewan, Ada Apa? https://t.co/uG4TnqLiej","Jakarta, Indonesia"
13,qaidu3,@muhammadd_deni @puanmaharani_ri Naik kereta perjalanan lebih santai,
14,AdnanAgam1,@DanaPensiun22 @puanmaharani_ri Munggahan sudh sudah tradisi balek kampung,
15,qaidu3,@puanmaharani_ri Yang mau mudik patuhi protokol kesehatan,
16,AdnanAgam1,"@AsgarMerah @puanmaharani_ri Amiin,,tanpa hambatan lancar aman",
17,AdnanAgam1,"@PdipSolid @puanmaharani_ri Kalo THR mah selalu si tungguin tiap tahun,,wkwk",
18,acikcika6,@hambarokp @puanmaharani_ri Jaga kesehatan biar badan fit,Indonesia
19,acikcika6,@azkaayulutfiah @puanmaharani_ri Patuhi protokol kesehatan,Indonesia
20,AdnanAgam1,@PdipSolid @puanmaharani_ri Setiap daerah mempunyai adat istiadat masing-masing,
21,acikcika6,@AurelTritania @puanmaharani_ri Sehat itu mahal,Indonesia
22,acikcika6,@artisindo8 @puanmaharani_ri Iya benar sekali kesehatan dijaga biar perjalanan mudik jadi lebih menyenangkan,Indonesia
23,acikcika6,@hold_raca @puanmaharani_ri Lanjut 2024 pemimpin perempuan,Indonesia
24,acikcika6,@ayukhanny @puanmaharani_ri Siap dukung,Indonesia
25,acikcika6,@AdnanAgam1 @puanmaharani_ri Patuhi protokol kesehatan saat mudik,Indonesia
26,acikcika6,@azkaayulutfiah @puanmaharani_ri @KAI121 Terimakasih Bu Puan info nya,Indonesia
27,acikcika6,@DedigDedigt @puanmaharani_ri @KAI121 Kereta api sekarang sudah pake AC semua,Indonesia
28,acikcika6,@artisindo8 @puanmaharani_ri @KAI121 Iya gak terasa sebentar lagi memasuki bulan Ramadhan,Indonesia
29,AdnanAgam1,@PdipSolid @puanmaharani_ri kalo kami mah balek kampung,
30,PUANnews,"#PPP Masih Meraba Isu Politik yang Dibahas dengan Puan Nanti - Konten Jatim 
#PuanMaharani

https://t.co/B8Ju8MXBCs","Gatakrejo, Nguter, Sukoharjo"
31,AdnanAgam1,"@RitasariiSari @puanmaharani_ri Luv banget pokok e mbak puan,,kami padamu",
32,AdnanAgam1,@Safitridede1 @puanmaharani_ri Kerja nyata untuk rakyat Indonesia terbuktii,
33,AdnanAgam1,"@puanmaharani_ri Mudik dengan aman dan nyaman,,tapi tetep jaga protokol kesehatan ya",
34,acikcika6,@puanmaharani_ri mudik sebagai salah satu momen berkumpul bersama keluarga besar,Indonesia
35,AdnanAgam1,"@puanmaharani_ri @KAI121 Tiket KA sebelum H- 45 sudah bisa di pesen tiket keberangkatan,,mantap",
36,AyahKami3,@artisindo8 @puanmaharani_ri @KAI121 Yang mau mudik pasti sudah gak sabaran,
37,AyahKami3,"@AurelTritania @puanmaharani_ri @KAI121 Enak klu punya mobil, mudik pake mobil sendiri",
38,AdnanAgam1,@puanmaharani_ri Suasana balek kampung Munggahan bikin kangen,
39,AyahKami3,@firmaansyah_ari @puanmaharani_ri @KAI121 Iya nih pengen mudik tapi gak ada kampung halaman,
40,AyahKami3,@DedigDedigt @puanmaharani_ri @KAI121 Iya sama saya juga sudah lama tidak naik kereta api,
41,AyahKami3,@RitasariiSari @puanmaharani_ri @KAI121 Laris manis tiket kereta menjelang lebaran,
42,AyahKami3,@AurelTritania @puanmaharani_ri Iya benar sekali lebih baik mencegah daripada mengobati,
43,AyahKami3,@artisindo8 @puanmaharani_ri Maka dari itu mudik dengan protokol kesehatan,
44,AyahKami3,"@AldainSatu @puanmaharani_ri Dari jauh hari tiket sudah ada, semoga semua yang mudik kebagian tiket",
45,AyahKami3,@DedigDedigt @puanmaharani_ri Aamiin semoga kita semua diberikan kesehatan,
46,AyahKami3,@RitasariiSari @puanmaharani_ri Yang mudik tetap mentaati peraturan protokol kesehatan,
47,AyahKami3,@puanmaharani_ri Ritual mudik lebaran kali ini diprediksi bakal ramai karena antusias masyarakat yang luar biasa,
48,K_DenZaman,"@Mdy_Asmara1701 Capres dr @PDI_Perjuangan yg paling masuk akal, ya mbak @puanmaharani_ri dibanding kader lain, bisa jd capres atau cawapres dg berkoalisi bareng @Gerindra &amp; @DPP_PKB sngt signifikan suaranya di akar rumput utk bertarung dg siapapun lawan dr koalisi lain @prabowo @cakimiNOW",
49,DedekIak,@muhammadd_deni @puanmaharani_ri Benar naik kereta alternatif mudik yang nyaman,
50,DedekIak,@Safitridede1 @puanmaharani_ri Tahun 2024 perempuan yang memimpin,
51,DedekIak,@RitasariiSari @puanmaharani_ri Ibu Puan selalu dihati kami,
52,DedekIak,@jipanaraya @puanmaharani_ri Ibu Puan gitu loh,
53,DedekIak,@AsgarMerah @puanmaharani_ri Aamiin semoga dilancarkan perjalanan mudik,
54,DedekIak,@PdipSolid @puanmaharani_ri Semua mengharapkan dapat THR manjela lebaran,
55,ajajakonjolitit,@puanmaharani_ri Pake cat apa buat warnain dunia buk?,
56,DedekIak,@hambarokp @puanmaharani_ri Iya sudah gak terasa lagi puasa ya,
57,benkaleh4,"@triliuner007 @Mdy_Asmara1701 Masa sie @puanmaharani_ri tidak layak?
Gimana ini pak @66Hasto @PDI_Perjuangan",
58,_dinoraurusss,@yumna_mufida Cc : @puanmaharani_ri,Kagak tentu
59,DedekIak,@AldainSatu @puanmaharani_ri Iya mudah-mudahan semua yang pada mudik kebagian tiket biar bisa mudik semua,
60,DedekIak,@DedigDedigt @puanmaharani_ri Aamiin sehat selalu buat kita,
61,DedekIak,@RitasariiSari @puanmaharani_ri Pastinya dong harus mudik dengan aman dan nyaman,
62,DedekIak,@puanmaharani_ri Lebaran dan mudik dua hal yang tidak bisa dipisahkan,
63,Syehadi7,@puanmaharani_ri Amiin yra.,
64,PUANnews,"#Tertahan di Meja Puan, Panja RUU PPRT Ancam Laporkan Pimpinan ke MKD - CNN Indonesia 
#PuanMaharani

https://t.co/dq35cRYHqL","Gatakrejo, Nguter, Sukoharjo"
65,PUANnews,"#Lirik Lagu Puan Kelana - Silampukau, Kita Tak Pernah Suka Air Mata - Alonesia - Alonesia 
#PuanMaharani

https://t.co/oTva8gJFu2","Gatakrejo, Nguter, Sukoharjo"
66,poetrakancil73,"@MARQUEZ__93 PERKIRAAN SAYA 2024
PRABOWO RI 1 - PUAN MAHARANI RI 2 ATAU GANJAR RI 1 - PRABOWO RI 2 ITU YG SDG DI GODOG DI DAPUR NYA KETUA UMUM",Jakarta
67,yanu2010,"@Kenikir27 @bengkeldodo @aniesbaswedan @ganjarpranowo @AgusYudhoyono @KhofifahIP @erickthohir @ridwankamil @aheryawan @puanmaharani_ri @prabowo Prestasinya apa? Minim saat ini jadi menteri? KKB gak ada tindakan, Natuna dibiarkan.. Apa ini? 😁 😁",
68,JatengTV,(11) Pemilik PT Perorangan bisa melakukan pemisahan kekayaan pribadi dan bisnis secara formal karena memiliki NPWP yang terpisah. #ptperorangan #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 #IndonesiaHebat #Jokowi https://t.co/HRqCfZUnue,"Semarang, Jawa Tengah"
69,Anasismail_Real,@arvindonoviar @luckylucky0971 @PDI_Perjuangan @puanmaharani_ri @budimandjatmiko @ganjarpranowo @gibran_tweet Mencalonkan boneka lg,"DKI Jakarta, Indonesia"
70,BeritaHangats,"Tak Hanya UU TPKS, Komnas Perempuan Minta Puan Maharani Dukung Pengesahan RUU PPRT https://t.co/mnrNfxE8Tm https://t.co/4HzIkwUJns",Indonesia
71,BeritaHangats,Eva Sundari: Pengesahan RUU PPRT Jadi Kesempatan Puan Maharani Buktikan Janji Kampanye https://t.co/C9IlIHIpZb https://t.co/UFIbCMKkB3,Indonesia
72,JatengTV,(12) PT Perorangan memiliki kepastian hukum dan terdaftar resmi di Kemenkumham. Kedudukannya sama seperti PT biasa. #ptperorangan #badanhukum #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 #IndonesiaBangkit #Jokowi https://t.co/HRqCfZUnue,"Semarang, Jawa Tengah"
73,Blue_Shoe_Cant,"@itsamareguzel @puanmaharani_ri Heheh..bukan RAHASIA UMUM.lah..
Banggar..tiap ketok palu..cabut bintang..
Ada CASH BACK..
🤭🤭",
74,PUANnews,"#Tak Hanya UU TPKS, Komnas Perempuan Minta Puan Maharani Dukung Pengesahan RUU PPRT - https://t.co/J21vXiaVbA 
#PuanMaharani

https://t.co/Nbcn3jzZeq","Gatakrejo, Nguter, Sukoharjo"
75,Baron_Jackalz,"@arvindonoviar @PDI_Perjuangan @puanmaharani_ri @budimandjatmiko @ganjarpranowo @gibran_tweet Puan Maharani.. biar ""juara"" lagi",
76,alekda,"@Mdy_Asmara1701 @PDI_Perjuangan 
@puanmaharani_ri 

dipuji kadrunwati nih mbak 😁","Ciputat, Tangsel"
77,JatengTV,"(03) Pemilik PT Perorangan menjadi pemeran utama dalam mengatur kebijakan perusahaannya, termasuk dalam hal pengolahan data dan keuangan. #ptperorangan #sange #ciptakerja #indonesia #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZUnue","Semarang, Jawa Tengah"
78,JatengTV,(04) Pada PT Perorangan seluruh kendala dan resiko kerugian serta keuntungan akan dihadapi dan ditanggung oleh pemilik usaha itu sendiri. #ptperorangan #badanhukum #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZUnue,"Semarang, Jawa Tengah"
79,adeirawan_vrz,@puanmaharani_ri Semoga petugas partai anda mudik dan gk usah balik ke jakarta lg,"Kota Tangerang, Banten"
80,PUANnews,"#Soal RUU PPRT, Eva Sundari: Saatnya Mbak Puan Buktikan ... - telusur 
#PuanMaharani

https://t.co/2RxL7fI2ik","Gatakrejo, Nguter, Sukoharjo"
81,samuel_manaf2,"@arvindonoviar @PDI_Perjuangan @puanmaharani_ri @budimandjatmiko @ganjarpranowo @gibran_tweet salah semua 👋

ini pilihan @PDI_Perjuangan 
🔽✌️😁 valid no debat 👋 https://t.co/zusbna80gf","Kota Surabaya, Jawa Timur"
82,marufali6797,@dodiubay14 @puanmaharani_ri Bener banget,
83,TikaYanuar2,"Duet Prabowo Subianto-Puan Maharani yang muncul dari koalisi ini diprediksi meraih kemenangan.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",
84,AmiraZahraa7,"Duet Prabowo Subianto-Puan Maharani yang muncul dari koalisi ini diprediksi akan meraih kemenangan.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Lebih Baik Prabowo",Jakarta
85,PUANnews,"#KIB Bisa Tarik PDIP ke Dalam Koalisi, tqpi Sulit Duetkan Airlangga ... - RMOLJABAR 
#PuanMaharani

https://t.co/DdJ8oUdLJM","Gatakrejo, Nguter, Sukoharjo"
86,CintaAnastasia5,"Duet Prabowo Subianto-Puan Maharani yang muncul dari koalisi ini diprediksi meraih kemenangan.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",
